Date,Close,Open_lag1,High_lag1,Low_lag1,Close_lag1,Adj Close_lag1,Volume_lag1,AROONOSC_lag1,RSI_lag1,RSI1_lag1,DX_lag1,AD_lag1,OBV_lag1,ATR_lag1,NATR_lag1,TRANGE_lag1,CDLENGULFING_lag1,CDLHANGINGMAN_lag1,CDLSHOOTINGSTAR_lag1,CDLHAMMER_lag1,
07/11/2017,7144.379883,7403.220215,7445.77002,7007.310059,7022.759766,7022.759766,3111899904,83.33333333,62.32311862,64.50307237,41.64232682,17116644271,30888258560,390.514061,4.865809686,341.7141249,0,0,0,0,
08/11/2017,7459.689941,7023.100098,7253.319824,7023.100098,7144.379883,7144.379883,2326340096,66.66666667,66.27899575,67.72444678,41.64232682,17241336771,33214598656,363.8550606,4.671847721,333.7745487,0,0,0,0,
09/11/2017,7143.580078,7141.379883,7776.419922,7114.02002,7459.689941,7459.689941,4602200064,100,74.58182153,74.67574993,74.45723259,17442404736,37816798720,413.6125342,4.789043393,357.2477883,0,0,0,0,
10/11/2017,6618.140137,7446.830078,7446.830078,7101.52002,7143.580078,7143.580078,3226249984,83.33333333,57.53816116,59.6496176,67.88075069,15002093417,34590548736,404.3720988,5.001884924,357.313655,0,0,0,0,
11/11/2017,6357.600098,7173.72998,7312,6436.870117,6618.140137,6618.140137,5208249856,-33.33333333,39.52277439,42.90688259,66.48303701,11951465125,29382298880,482.8317295,5.957875177,394.3005284,0,0,0,0,
12/11/2017,5950.069824,6618.609863,6873.149902,6204.220215,6357.600098,6357.600098,4908680192,-50,33.31591395,36.9131421,78.51890962,9293822095,24473618688,513.8480558,6.510584034,413.9168969,0,0,0,0,
13/11/2017,6559.490234,6295.450195,6625.049805,5519.009766,5950.069824,5950.069824,8957349888,-66.66666667,25.7310376,29.41474752,93.10456222,7318417943,15516268800,612.5467197,7.787375239,463.3542642,0,0,0,0,
14/11/2017,6635.75,5938.25,6811.189941,5844.290039,6559.490234,6559.490234,6263249920,-66.66666667,47.27239914,47.88440636,41.06489244,10320817043,21779518720,671.6055835,7.612204484,499.3218098,1,0,0,0,
15/11/2017,7315.540039,6561.47998,6764.97998,6461.75,6635.75,6635.75,3197110016,-66.66666667,49.47303761,49.80199998,41.06489244,10792850440,24976628736,610.2096496,7.31364579,485.3152505,0,0,0,0,
16/11/2017,7871.689941,6634.759766,7342.25,6634.759766,7315.540039,7315.540039,4200880128,-50,65.06825782,63.69466249,67.51928491,14676537938,29177508864,626.4230804,6.850962329,501.1848922,0,0,0,0,
17/11/2017,7708.990234,7323.240234,7967.379883,7176.580078,7871.689941,7871.689941,5123809792,66.66666667,73.19163997,71.28100114,87.82183709,18560344746,34301318656,653.8192011,6.629728503,521.8716717,0,0,0,0,
18/11/2017,7790.149902,7853.569824,8004.589844,7561.089844,7708.990234,7708.990234,4651670016,83.33333333,67.66740301,66.53575717,88.66527839,17011194741,29649648640,618.7660009,6.697033975,516.2736951,0,0,0,0,
19/11/2017,8036.490234,7697.209961,7884.990234,7463.439941,7790.149902,7790.149902,3667190016,83.33333333,69.06504225,67.78388261,38.36741778,19028296858,33316838656,585.8967163,6.540409931,509.5077378,0,0,0,0,
20/11/2017,8200.639648,7766.029785,8101.910156,7694.100098,8036.490234,8036.490234,3149319936,100,73.27308242,71.54240756,71.78571097,21167203932,36466158592,556.2156067,6.249539329,502.2436179,0,0,0,0,
21/11/2017,8071.259766,8039.069824,8336.860352,7949.359863,8200.639648,8200.639648,3488450048,100,75.89501911,73.90881063,87.02536999,22203016459,39954608640,528.0964203,6.024501761,494.0476801,0,0,0,0,
22/11/2017,8253.549805,8205.740234,8348.660156,7762.709961,8071.259766,8071.259766,4277609984,100,69.45095012,68.65879105,0.648720965,22430416409,35676998656,537.7387161,6.202404085,500.6121454,0,0,0,0,
23/11/2017,8038.77002,8077.950195,8302.259766,8075.470215,8253.549805,8253.549805,3633530112,83.33333333,73.2859401,71.93568327,0.648720965,24503124082,39310528768,486.6155968,5.83208615,481.3541351,0,0,0,0,
24/11/2017,8253.69043,8232.379883,8267.400391,8038.77002,8038.77002,8038.77002,4225179904,50,62.23902497,62.89611867,26.16960299,20277944178,35085348864,443.6180591,5.763349822,463.3024376,0,0,0,0,
25/11/2017,8790.919922,8074.02002,8374.160156,7940.930176,8253.69043,8253.69043,5058610176,100,68.02635226,67.64294339,50.52594201,22523224658,40143959040,441.8867127,5.587251047,461.154405,0,0,0,0,
26/11/2017,9330.549805,8241.709961,8790.919922,8191.149902,8790.919922,8790.919922,4342060032,100,78.09611797,76.43484956,91.38975814,26865284690,44486019072,468.2005972,5.358432616,471.0555203,0,0,0,0,
27/11/2017,9818.349609,8789.040039,9522.929688,8775.589844,9330.549805,9330.549805,5475579904,83.33333333,84.12320446,82.12618545,97.7930941,29521822015,49961598976,514.7238049,5.260034243,490.7901148,0,0,0,0,
28/11/2017,10058.7998,9352.719727,9818.349609,9352.719727,9818.349609,9818.349609,5653320192,100,87.7727708,85.75456119,98.6209132,35175142207,55614919168,510.2364716,4.996527327,490.5765212,0,0,0,0,
29/11/2017,9888.610352,9823.429688,10125.7002,9736.299805,10058.7998,10058.7998,6348819968,66.66666667,89.23630997,87.24374559,99.22545203,39342461868,61963739136,490.0971247,4.80524182,483.3496548,0,0,0,0,
