Date,Open,High,Low,Close,Adj Close,Volume,AROONOSC,RSI,RSI1,DX,ADOSC,OBV,ATR,TRANGE,CDLENGULFING,CDLHANGINGMAN,CDLSHOOTINGSTAR,CDLHAMMER,Open_lag1,High_lag1,Low_lag1,Close_lag1,Adj Close_lag1,Volume_lag1,AROONOSC_lag1,RSI_lag1,RSI1_lag1,DX_lag1,ADOSC_lag1,OBV_lag1,ATR_lag1,TRANGE_lag1,CDLENGULFING_lag1,CDLHANGINGMAN_lag1,CDLSHOOTINGSTAR_lag1,CDLHAMMER_lag1
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,100.0,74.51271782134259,97.5378080317135,45.20307167225128,20980019.646543354,105412808.0,24.708998619686934,24.891831067143652,0,0,0,0,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800.0,50.0,68.35261085976258,94.7030596269036,25.94448388789613,16694978.250974895,70191408.0,23.98499634167119,24.627432686941965,0.0,0.0,0.0,0.0
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,100.0,78.86346071034177,98.7329381226592,56.296044610349696,17081391.937545404,143904308.0,24.138164946744322,24.634128603921337,0,0,-100,0,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400.0,100.0,74.51271782134259,97.5378080317135,45.20307167225128,20980019.646543354,105412808.0,24.708998619686934,24.891831067143652,0.0,0.0,0.0,0.0
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100,83.33333333333334,70.44866267111215,63.044881189277255,49.86121520017775,11864870.161411054,118637208.0,22.358637211479646,23.83604788472383,0,0,0,0,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500.0,100.0,78.86346071034177,98.7329381226592,56.296044610349696,17081391.937545404,143904308.0,24.138164946744322,24.634128603921337,0.0,0.0,-100.0,0.0
2014-10-16,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000,66.66666666666667,56.06443911668983,25.74759134732541,14.999306606784964,5660249.5230827,91647208.0,22.92169759485283,23.971830143794897,0,0,0,0,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100.0,83.33333333333334,70.44866267111215,63.044881189277255,49.86121520017775,11864870.161411054,118637208.0,22.358637211479646,23.83604788472383,0.0,0.0,0.0,0.0
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700,50.0,57.09863789167679,33.49010091140073,14.999306606784964,6519415.575609453,105247908.0,20.782912872012776,22.980198651939013,0,0,0,0,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000.0,66.66666666666667,56.06443911668983,25.74759134732541,14.999306606784964,5660249.5230827,91647208.0,22.92169759485283,23.971830143794897,0.0,0.0,0.0,0.0
2014-10-18,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800,33.333333333333336,63.66056127419936,71.4937440067815,29.553004682580397,7834547.18942732,116664708.0,20.016924260205958,22.494968834027073,0,0,0,0,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700.0,50.0,57.09863789167679,33.49010091140073,14.999306606784964,6519415.575609453,105247908.0,20.782912872012776,22.980198651939013,0.0,0.0,0.0,0.0
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,16.666666666666668,60.90235934582976,55.76818568718799,29.553004682580386,6262680.3880185895,110750138.0,17.927769321656005,21.4226135336613,0,0,0,0,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800.0,33.333333333333336,63.66056127419936,71.4937440067815,29.553004682580397,7834547.18942732,116664708.0,20.016924260205958,22.494968834027073,0.0,0.0,0.0,0.0
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,-33.333333333333336,51.44846555706864,21.82894178763979,7.158440498102708,3296741.9993389025,94331138.0,16.911807890116982,20.737569762144197,0,0,0,0,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570.0,16.666666666666668,60.90235934582976,55.76818568718799,29.553004682580386,6262680.3880185895,110750138.0,17.927769321656005,21.4226135336613,0.0,0.0,0.0,0.0
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,-16.666666666666668,55.89865036667372,52.89046630581187,12.80600270353213,1720081.9425648078,108520038.0,16.0618367752928,20.100027722074746,0,0,0,0,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000.0,-33.333333333333336,51.44846555706864,21.82894178763979,7.158440498102708,3296741.9993389025,94331138.0,16.911807890116982,20.737569762144197,0.0,0.0,0.0,0.0
2014-10-22,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,383.1579895019531,11641300,0.0,50.79353877218823,30.64009343802268,12.806002703532135,-2143443.0400689915,96878738.0,14.439363287678896,19.11623973118436,0,0,0,0,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900.0,-16.666666666666668,55.89865036667372,52.89046630581187,12.80600270353213,1720081.9425648078,108520038.0,16.0618367752928,20.100027722074746,0.0,0.0,0.0,0.0
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900,-83.33333333333334,27.947882757043317,4.211314272463026,40.0663917051537,-11345441.78377634,70421838.0,16.79963827033137,19.793723549213603,0,0,0,0,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,383.1579895019531,11641300.0,0.0,50.79353877218823,30.64009343802268,12.806002703532135,-2143443.0400689915,96878738.0,14.439363287678896,19.11623973118436,0.0,0.0,0.0,0.0
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700,-100.0,27.90405950511004,4.190280319743999,43.90815233001313,-11891648.820557278,54836138.0,15.839699982763122,19.16845819176419,0,0,0,0,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900.0,-83.33333333333334,27.947882757043317,4.211314272463026,40.0663917051537,-11345441.78377634,70421838.0,16.79963827033137,19.793723549213603,0.0,0.0,0.0,0.0
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500,-100.0,21.640391142463827,1.6519299257470481,55.31565756093357,-13089135.465755872,36708638.0,16.03041303088333,19.012423911744204,0,0,0,0,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700.0,-100.0,27.90405950511004,4.190280319743999,43.90815233001313,-11891648.820557278,54836138.0,15.839699982763122,19.16845819176419,0.0,0.0,0.0,0.0
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500,-66.66666666666667,33.63864585103636,45.760019101859555,55.31565756093359,-9124046.19301258,47981138.0,15.907012283223088,18.74653709982832,0,0,0,0,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500.0,-100.0,21.640391142463827,1.6519299257470481,55.31565756093357,-13089135.465755872,36708638.0,16.03041303088333,19.012423911744204,0.0,0.0,0.0,0.0
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000,-66.66666666666667,32.270564637397996,37.91353756172713,55.315657560933595,-7828036.830201164,34948138.0,14.72634324383174,18.037712881760225,0,0,0,0,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500.0,-66.66666666666667,33.63864585103636,45.760019101859555,55.31565756093359,-9124046.19301258,47981138.0,15.907012283223088,18.74653709982832,0.0,0.0,0.0,0.0
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880,-50.0,40.153968168244084,67.75802663881613,48.54731176696577,-4975634.025752762,42794018.0,13.489456568753013,17.271092189731593,0,0,0,0,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000.0,-66.66666666666667,32.270564637397996,37.91353756172713,55.315657560933595,-7828036.830201164,34948138.0,14.72634324383174,18.037712881760225,0.0,0.0,0.0,0.0
